,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,1.5739,7.717539310455322,4.979705082482453e-05,0.01221359128438126,1000,,,,,,,,,,,
1,1.4506,9.079651832580566,4.9593490970084844e-05,0.02442718256876252,2000,,,,,,,,,,,
2,1.3733,5.255659580230713,4.93901346751999e-05,0.03664077385314378,3000,,,,,,,,,,,
3,1.3243,4.99712610244751,4.918698194016969e-05,0.04885436513752504,4000,,,,,,,,,,,
4,1.2794,5.956530570983887,4.8983422085430004e-05,0.061067956421906294,5000,,,,,,,,,,,
5,1.2494,7.815749168395996,4.877986223069032e-05,0.07328154770628756,6000,,,,,,,,,,,
6,1.2228,2.6699705123901367,4.857630237595063e-05,0.08549513899066882,7000,,,,,,,,,,,
7,1.2062,6.348857879638672,4.837294608106568e-05,0.09770873027505007,8000,,,,,,,,,,,
8,1.1872,5.11973237991333,4.816938622632599e-05,0.10992232155943134,9000,,,,,,,,,,,
9,1.175,11.763179779052734,4.7965826371586305e-05,0.12213591284381259,10000,,,,,,,,,,,
10,1.1435,3.5674831867218018,4.7762470076701354e-05,0.13434950412819385,11000,,,,,,,,,,,
11,1.1672,6.6010518074035645,4.755891022196167e-05,0.14656309541257512,12000,,,,,,,,,,,
12,1.1353,3.672022581100464,4.735535036722198e-05,0.15877668669695638,13000,,,,,,,,,,,
13,1.1393,3.852668523788452,4.715179051248229e-05,0.17099027798133765,14000,,,,,,,,,,,
14,1.1424,4.150640487670898,4.6948230657742606e-05,0.18320386926571888,15000,,,,,,,,,,,
15,1.1169,5.406625747680664,4.6744874362857655e-05,0.19541746055010015,16000,,,,,,,,,,,
16,1.1142,4.933444976806641,4.654131450811797e-05,0.2076310518344814,17000,,,,,,,,,,,
17,1.1205,4.062992572784424,4.6337958213233024e-05,0.21984464311886268,18000,,,,,,,,,,,
18,1.1009,3.79441499710083,4.613439835849334e-05,0.23205823440324394,19000,,,,,,,,,,,
19,1.0981,5.227741718292236,4.5931042063608386e-05,0.24427182568762518,20000,,,,,,,,,,,
20,,,,0.24427182568762518,20000,1.0938982963562012,0.6138763508453733,0.5152585472474824,216.1644,673.363,42.088,,,,,
21,1.0991,7.865688323974609,4.57274822088687e-05,0.25648541697200644,21000,,,,,,,,,,,
22,1.0903,6.425759792327881,4.552412591398375e-05,0.2686990082563877,22000,,,,,,,,,,,
23,1.0954,5.180451393127441,4.532056605924406e-05,0.28091259954076897,23000,,,,,,,,,,,
24,1.0792,4.2014851570129395,4.5117006204504374e-05,0.29312619082515023,24000,,,,,,,,,,,
25,1.0894,5.6076507568359375,4.491364990961943e-05,0.3053397821095315,25000,,,,,,,,,,,
26,1.0682,5.7677903175354,4.4710090054879736e-05,0.31755337339391276,26000,,,,,,,,,,,
27,1.0736,3.928361177444458,4.450673375999479e-05,0.32976696467829403,27000,,,,,,,,,,,
28,1.0628,3.928328514099121,4.4303173905255104e-05,0.3419805559626753,28000,,,,,,,,,,,
29,1.0676,6.860709190368652,4.409961405051542e-05,0.3541941472470565,29000,,,,,,,,,,,
30,1.0623,4.355647563934326,4.3896257755630466e-05,0.36640773853143777,30000,,,,,,,,,,,
31,1.0617,5.573596954345703,4.369269790089078e-05,0.37862132981581903,31000,,,,,,,,,,,
32,1.0722,5.21224308013916,4.348913804615109e-05,0.3908349211002003,32000,,,,,,,,,,,
33,1.0476,5.542695045471191,4.3285578191411405e-05,0.40304851238458156,33000,,,,,,,,,,,
34,1.0457,4.469676494598389,4.308201833667171e-05,0.4152621036689628,34000,,,,,,,,,,,
35,1.0383,3.9949162006378174,4.2878458481932024e-05,0.4274756949533441,35000,,,,,,,,,,,
36,1.0493,4.122349739074707,4.267510218704709e-05,0.43968928623772535,36000,,,,,,,,,,,
37,1.0461,4.154698848724365,4.2471745892162136e-05,0.4519028775221066,37000,,,,,,,,,,,
38,1.0305,7.939265727996826,4.226818603742245e-05,0.4641164688064879,38000,,,,,,,,,,,
39,1.0349,4.61070442199707,4.206462618268276e-05,0.47633006009086915,39000,,,,,,,,,,,
40,1.0365,4.259665012359619,4.186147344765255e-05,0.48854365137525035,40000,,,,,,,,,,,
